Date,Actual,Predicted
2024-12-31,5868.55,5877.54
2025-01-02,5942.47,5871.98
2025-01-03,5975.38,5949.3
2025-01-06,5909.03,6015.55
2025-01-07,5918.25,5862.17
2025-01-08,5827.04,6000.22
2025-01-10,5836.22,5823.23
2025-01-13,5842.91,5827.37
2025-01-14,5949.91,5757.24
2025-01-15,5937.34,5942.29
2025-01-16,5996.66,5867.39
2025-01-17,6049.24,5916.87
2025-01-21,6086.37,6013.3
2025-01-22,6118.71,6037.95
2025-01-23,6101.24,6118.57
2025-01-24,6012.28,6170.24
2025-01-27,6067.7,5961.32
2025-01-28,6039.31,6123.13
2025-01-29,6071.17,6001.89
2025-01-30,6040.53,6099.07
2025-01-31,5994.57,6083.61
2025-02-03,6037.88,5963.7
2025-02-04,6061.48,6007.94
2025-02-05,6083.57,6040.79
2025-02-06,6025.99,6139.65
2025-02-07,6066.44,5998.77
2025-02-10,6068.5,6045.6
2025-02-11,6051.97,6074.85
2025-02-12,6115.07,5984.06
2025-02-13,6114.63,6112.4
2025-02-14,6129.58,6086.29
2025-02-18,6144.15,6107.28
2025-02-19,6117.52,6170.83
2025-02-20,6013.13,6205.45
2025-02-21,5983.25,6018.32
2025-02-24,5955.25,5995.48
2025-02-25,5956.06,5942.05
2025-02-26,5861.57,6078.08
2025-02-27,5954.5,5770.49
2025-02-28,5849.72,6059.2
2025-03-03,5778.15,5908.69
2025-03-04,5842.63,5749.23
2025-03-05,5738.52,5977.0
2025-03-06,5770.2,5730.17
2025-03-07,5614.56,5948.18
2025-03-10,5572.07,5711.58
2025-03-11,5599.3,5566.4
2025-03-12,5521.52,5746.27
2025-03-13,5638.94,5448.18
2025-03-14,5675.12,5595.37
2025-03-17,5614.66,5766.28
2025-03-18,5675.29,5549.86
2025-03-19,5662.89,5657.66
2025-03-20,5667.56,5663.12
2025-03-21,5767.57,5536.78
2025-03-24,5776.65,5735.52
2025-03-25,5712.2,5818.66
2025-03-26,5693.31,5752.59
2025-03-27,5580.94,5783.11
2025-03-28,5611.85,5574.11
2025-03-31,5633.07,5597.52
2025-04-01,5670.97,5623.33
2025-04-02,5396.52,5978.95
2025-04-03,5074.08,5739.46
2025-04-04,5062.25,5158.08
2025-04-07,4982.77,5210.14
2025-04-08,5456.9,4583.56
2025-04-09,5268.05,5597.25
2025-04-10,5363.36,5198.51
2025-04-11,5405.97,5293.69
2025-04-14,5396.63,5433.12
2025-04-15,5275.7,5516.76
2025-04-16,5282.7,5266.1
2025-04-17,5158.2,5409.22
2025-04-21,5287.76,5065.54
2025-04-22,5375.86,5186.54
2025-04-23,5484.77,5277.82
2025-04-24,5525.21,5436.97
2025-04-25,5528.75,5509.07
2025-04-28,5560.83,5539.63
2025-04-29,5569.06,5538.34
2025-04-30,5604.14,5550.97
2025-05-01,5686.67,5516.38
2025-05-02,5650.38,5680.41
2025-05-05,5606.91,5705.24
2025-05-06,5631.28,5617.18
2025-05-07,5663.94,5583.87
2025-05-08,5659.91,5642.38
2025-05-09,5844.19,5466.38
2025-05-12,5886.55,5742.61
2025-05-13,5892.58,5855.5
2025-05-14,5916.93,5835.14
2025-05-15,5958.38,5868.15
2025-05-16,5963.6,5919.98
2025-05-19,5940.46,5997.86
2025-05-20,5844.61,6029.92
2025-05-21,5842.01,5840.19
2025-05-22,5802.82,5863.53
2025-05-23,5921.54,5683.38
2025-05-27,5888.55,5936.0
2025-05-28,5912.17,5859.28
2025-05-29,5911.69,5930.76
2025-05-30,5935.94,5885.51
2025-06-02,5970.37,5898.67
2025-06-03,5970.81,5960.97
2025-06-04,5939.3,5993.96
2025-06-05,6000.36,5882.28
2025-06-06,6005.88,5985.7
2025-06-09,6038.81,5964.16
2025-06-10,6022.24,6053.42
2025-06-11,6045.26,6002.05
2025-06-12,5976.97,6120.22
2025-06-13,6033.11,5915.02
2025-06-16,5982.72,6089.24
2025-06-17,5980.87,5995.97
2025-06-18,5967.84,5983.59
2025-06-20,6025.17,5917.81
2025-06-23,6092.18,5970.65
2025-06-24,6092.16,6092.33
2025-06-25,6141.02,6040.38
2025-06-26,6173.07,6097.71
2025-06-27,6204.95,6161.58
2025-06-30,6198.01,6217.41
2025-07-01,6227.42,6175.09
2025-07-02,6279.35,6186.28
2025-07-03,6229.98,6337.24
2025-07-07,6225.52,6220.14
2025-07-08,6263.26,6158.9
2025-07-09,6280.46,6230.13
2025-07-10,6259.75,6293.65
2025-07-11,6268.56,6230.79
2025-07-14,6243.76,6281.45
2025-07-15,6263.7,6221.65
2025-07-16,6297.36,6213.48
2025-07-17,6296.79,6272.8
2025-07-18,6305.6,6288.93
2025-07-21,6309.62,6308.31
2025-07-22,6358.91,6227.09
2025-07-23,6363.35,6335.41
2025-07-24,6388.64,6334.35
2025-07-25,6389.77,6381.26
2025-07-28,6370.86,6399.36
2025-07-29,6362.9,6384.05
2025-07-30,6339.39,6387.25
2025-07-31,6238.01,6429.82
2025-08-01,6329.94,6119.74
2025-08-04,6299.19,6355.13
2025-08-05,6345.06,6237.33
2025-08-06,6340.0,6343.04
